id,name,party,sector,country
UL,Ursula von der Leyen,CDU,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
SW,Sarah Wagenkecht,Linke,Politik,Deutschland
CS,Constanze Stelzenmüller,,Wissenschaft,USA
CL,Christian Lindner,FDP,Politik,Deutschland
KS,Karl Schlögel,,Wissenschaft,Deutschland
LM,Ljudmyla Melnyk,,Wissenschaft,Ukraine
KD,Kristina Dunz,,Journalismus,Deutschland
EL,Egils Levits,,Politik,Estland
AM,Andrij Melnyk,,Politik,Ukraine
AGM,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ER,Egon Ramms,,Militär,Deutschland
500,Folge 500,,,
501,Folge 500,,,
502,Folge 500,,,
CDU,CDU,,,
SPD,CDU,,,
BG,B90 Grüne,,,
Linke,Linke,,,
