id,name,type,birth,group,background,testpilot,bachelor,master,phd,almamater1,almamater2,marriage,kids,divorced,religion,moonwalker,boyscout,boyscout_rank,career,freemason,fraternity,id
Aldrin,Buzz Aldrin,0,1930,3,2,yes,yes,NA,yes,USMA,MIT,yes,3,yes,presbyterian,yes,yes,Tenderfoot,Airforce,yes,TauBetaPi,Aldrin
Anders,Bill Anders,0,1933,1,2,yes,1955,1962,no,USNA,AFIT,yes,4,no,catholic,no,yes,Lifescout,Corporate,no,TauBetaPi,Anders
Apollo_01,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,TauBetaPi,Apollo_01
Apollo_07,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Apollo_07
Apollo_08,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Apollo_08
Apollo_09,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Apollo_09
Apollo_10,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Apollo_10
Apollo_11,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,NA,NA,NA,NA,Apollo_11
Apollo_12,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,NA,NA,NA,NA,Apollo_12
Apollo_13,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Apollo_13
Apollo_14,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,NA,NA,NA,NA,Apollo_14
Apollo_15,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,NA,NA,NA,NA,Apollo_15
Apollo_16,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,NA,NA,NA,NA,Apollo_16
Apollo_17,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,NA,NA,NA,NA,Apollo_17
Apollo_Soyuz_Test,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Apollo_Soyuz_Test
Armstrong,Neil Armstrong,0,1930,2,1,yes,1955,1970,no,Purdue,USC,yes,3,yes,deist,yes,no,NA,University,no,PhiDeltaTheta,Armstrong
Bean,Alan Bean,0,1932,3,1,yes,1955,no,no,UTAustin,NA,yes,2,yes,NA,yes,yes,Firstclass,Nasa,no,NA,Bean
Borman,Frank Borman,0,1928,2,2,yes,1950,1957,no,USMA,Caltech,yes,2,no,NA,no,no,NA,Corporate,no,NA,Borman
Cernan,Gene Cernan,0,1934,3,1,no,1956,1963,no,Purdue,NPS,yes,1,yes,NA,yes,yes,Secondclass,Corporate,no,TauBetaPi,Cernan
Chaffee,Roger Chaffee,0,1935,3,1,no,1957,no,no,Purdue,NA,yes,2,no,NA,no,yes,Eagle,Death,no,TauBetaPi,Chaffee
Collins,Michael Collins,0,1930,3,2,no,1952,no,no,USMA,NA,yes,0,no,Episcopalian,no,no,NA,Nasa,no,NA,Collins
Conrad,Pete Conrad,0,1930,2,1,yes,1953,no,no,Princeton,NA,yes,4,yes,NA,yes,no,NA,Corporate,no,NA,Conrad
Cunningham,Walter Cunningham,0,1932,3,3,no,1960,1961,no,UCLA,UCLA,yes,2,no,NA,no,no,NA,Corporate,no,NA,Cunningham
Duke,Charles Duke,0,1935,3,2,no,1957,1964,no,USNA,MIT,yes,2,no,BornAgain,yes,yes,Eagle,Corporate,no,NA,Duke
Eisele,Donn Eisele,0,1930,3,2,yes,1952,1960,no,USNA,AFIT,yes,NA,yes,NA,no,yes,Eagle,Corporate,yes,TauBetaPi,Eisele
Evans,Ronald Evans,0,1933,5,1,no,1956,1964,no,Kansas,NPS,yes,2,no,NA,no,yes,Lifescout,Corporate,no,TauBetaPi,Evans
Gemini_03,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_03
Gemini_04,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_04
Gemini_05,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_05
Gemini_06,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_06
Gemini_07,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_07
Gemini_08,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_08
Gemini_09,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_09
Gemini_10,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_10
Gemini_11,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_11
Gemini_12,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Gemini_12
Gordon,Richard Gordon,0,1929,3,1,yes,1951,1961,no,Washington,NPS,yes,6,yes,NA,no,yes,Star,Corporate,no,NA,Gordon
Grissom,Gus Grissom,0,1926,1,2,yes,1950,1956,no,Purdue,AFIT,yes,2,no,ChurchofChrist,no,yes,Boyscout,Death,no,TauBetaPi,Grissom
Haise,Fred Haise,0,1933,5,2,no,1959,no,no,Oklahoma,no,yes,4,yes,NA,no,yes,Star,Corporate,no,TauBetaPi,Haise
Irwin,James Irwin,0,1930,5,2,yes,1951,1957,no,USNA,Michigan,yes,2,yes,BornAgain,yes,yes,NA,Foundatoin,yes,NA,Irwin
Lovell,Jim Lovell,0,1928,2,1,yes,1952,no,no,USNA,NA,yes,4,no,NA,no,yes,Eagle,Corporate,no,AlphaPhiOmega,Lovell
Mattingly,Ken Mattingly,0,1936,5,1,yes,1958,no,no,Auburn,NA,yes,NA,no,NA,no,yes,Life,Corporate,no,NA,Mattingly
McDivitt,James McDivitt,0,1929,2,2,yes,1959,no,no,Michigan,NA,yes,4,no,Catholic,no,yes,Tenderfoot,Corporate,no,TauBetaPi,McDivitt
Mercury_Freedom,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Mercury_Freedom
Mercury_Liberty,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Mercury_Liberty
Mercury_Sigma,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Mercury_Sigma
