id,name,sex,age,city,subgenre,label
18k,18 Karat,m,99,Dortmund,Strassenrap,Banger Musik
187,187 Strassenbande,m,99,Hamburg,Strassenrap,187 Strassenbande
abd,Abdi,m,1987,Frankfurt,Strassenrap,Azzlackz
av,AchtVier,m,1984,Hamburg,Strassenrap,Steuerfrei Money
ahz,AHZUMJOT,m,1989,Hamburg,Trap,Selbstveröffentlichung
aje,AJE,m,99,Darmstadt,Strassenrap,99
ak,AK Ausserkontrolle,m,99,Berlin,Strassenrap,XY Records
ag,Alpa Gun,m,1980,Berlin,Strassenrap,Sektenmuzik
am,Amar,m,1983,99,Strassenrap,Chapter ONE
an,Animus,m,1982,Heidelberg,Battlerap,Bozz Musik
ano,Anonym,m,99,Hannover,Strassenrap,Major Movez
alg,Al-Gear,m,1984,Düsseldorf,Battlerap,Milfhunter Records
ase,Asek,m,99,Berlin,Strassenrap,Tempeltainment
as,Aslan,m,99,Basel,Strassenrap,Igroove Ag
au,Automatikk,m,99,Nürnberg,Battlerap,Automatikk
aza,Azad,m,1973,Frankfurt,Strassenrap,Bozz Musik
aze,Azero,m,99,Berlin,Strassenrap,B. E. K.
az,Azet,m,1993,Dresden,Afrotrap/Dancehall,KMN Gang
azr,Azro,m,99,Frankfurt,Strassenrap,385idéal
azz,Azzi Memo,m,1994,Hanau am Main,Afrotrap/Dancehall,Azzlackz
bs,Baba Saad,m,1985,Bremen,Strassenrap,ersguterjunge
ban,Bandit,m,99,Glarus,Battlerap,Nation Music
bar,Bartek,m,1983,Stuttgart,Mainstream/Entertainment,Chimperator
bsh,Bass Sultan Hengzt,m,1981,Berlin,Battlerap,Bassboxxx
bas,Basstard,m,1982,Berlin,Oldschool,Horrorkore Entertainment
bau,Bausa,m,1989,Bietigheim-Bissingen,Afrotrap/Dancehall,Warner Music Germany
bea,Beatfabrik,m,99,Berlin,Oldschool,Royal Bunker
beg,Beginner,m,99,Hamburg,Oldschool,Vertigo Berlin
be,Berkan,m,99,99,Strassenrap,iGrooveNext.com
ber,Bero Bass,m,1980,Köln,Strassenrap,Xalo Music
bm,Bizzy Montana,m,1983,Müllheim,Conscious,Freunde von Niemand
bl,B-Lash,m,1982,Berlin,Oldschool,187Beatz
bli,Bligg,m,1976,Zürich,Conscious,Universal Music
blo,Blokkmonsta,m,1982,Berlin,Strassenrap,Hirntot Records
blk,Blut & Kasse,m,1984,Würzburg,Strassenrap,Wolfpack Entertainment
bmc,Bonez MC,m,1985,Hamburg,Strassenrap,Vertigo Berlin
bo,Born,m,99,Frankfurt,Conscious,Über die Grenze
bos,Bosca,m,1988,Wiesbaden,Conscious,Freunde von Niemand
boz,Boz,m,1984,Hamburg,Conscious,Rattos Locos Records
brkn,BRKN,m,1991,Berlin,Strassenrap,BESTE
bru,Brutos Brutaloz,m,1983,Berlin,Strassenrap,Horrorkore Entertainment
bti,B-Tight,m,1979,Berlin,Battlerap,Jetzt Paul
