from,to,relationship
CE,1,1
DB,1,1
KU,2,1
VK,2,1
KD,3,1
MB,3,1
DB,4,1
MAW,4,1
TM,4,1
WWM,5,1
HM,5,1
WWM,6,1
HM,6,1
MR,7,1
NO,7,1
KU,8,1
MB,8,1
MB,9,1
HM,9,1
WWM,9,1
WWM,10,1
NP,10,1
TM,11,1
NG,11,1
JKB,12,1
MM,12,1
MBE,13,1
MR,13,1
KU,14,1
JB,14,1
VB,15,1
PA,15,1
VB,16a,1
HZ,16a,1
TM,16b,1
VB,16b,1
TM,16c,1
JB,16c,1
TP,16c,1
VB,16c,1
NG,16c,1
MB,16c,1
JKB,17,1
MB,17,1
KU,18,1
NG,18,1
WWM,19,1
MB,19,1
JKB,20,1
JBS,20,1
MB,21,1
WWM,21,1
MAW,22,1
JB,22,1
CS,23,1
MB,23,1
KT,24,1
NG,24,1
MR,25,1
MS,25,1
MBE,25,1
MR,26,1
NO,26,1
MR,27,1
NP,27,1
NO,27,1
KD,28,1
KU,28,1
VK,29,1
MR,29,1
NO,30,1
NU,30,1
KD,31,1
ND,31,1
KD,32,1
WWM,32,1
BM,33a,1
VK,33a,1
BM,33b,1
VK,33b,1
JKB,33b,1
MS,34,1
VB,34,1
TP,34,1
UF,34,1
MB,35,1
UT,35,1
TM,36,1
NG,36,1
TM,37,1
HM,37,1
CS,38,1
TM,38,1
MB,39,1
NU,39,1
HM,39,1
NU,40,1
JJL,40,1
VB,40,1
CE,41,1
KS,41,1
JKB,42a,1
IF,42a,1
IF,42b,1
KD,42b,1
KT,43,1
CS,43,1
MM,44,1
VB,44,1
UT,45,1
NP,45,1
HZ,45,1
JKB,46,1
KT,46,1
MM,47,1
UT,47,1
NU,48,1
JJL,48,1
TM,48,1
MM,49,1
VB,49,1
KT,49,1
MB,50,1
VB,50,1
MB,51,1
JJL,51,1
RM,52,1
HM,52,1
KT,53,1
MB,53,1
UT,54,1
HZ,54,1
MR,55,1
JJL,55,1
NU,56,1
JJL,56,1
PA,56,1
KU,57,1
WWM,57,1
VK,58,1
KS,58,1
NU,59,1
UT,59,1
NG,59,1
FK,60,1
PA,60,1
JKB,61,1
TP,61,1
IF,61,1
WWM,62,1
HM,62,1
MB,63,1
MM,63,1
TM,64,1
WWM,64,1
PB,65,1
NU,65,1
TP,66,1
VK,66,1
JKB,67,1
TM,67,1
NO,68,1
KS,68,1
TM,69,1
HZ,69,1
MR,70,1
NO,70,1
NO,71,1
HM,71,1
MB,72,1
IF,72,1
MM,72,1
MB,73,1
MM,73,1
CS,74,1
MB,74,1
CS,75,1
MB,75,1
UT,76,1
DB,76,1
UF,77,1
IF,77,1
MAW,77,1
CE,78,1
VB,78,1
MB,79,1
WWM,79,1
MM,80,1
MS,80,1
PA,80,1
KU,81,1
IF,81,1
TM,82,1
IF,82,1
KU,83,1
WWM,83,1
MB,84,1
CS,84,1
CE,85,1
JKB,85,1
MAW,85,1
JBS,85,1
TM,85,1
DB,85,1
HZ,85,1
KU,86,1
WWM,86,1
TP,87,1
PB,87,1
TP,88,1
PA,88,1
TP,89,1
HZ,89,1
HM,89,1
MS,90,1
VB,90,1
MBE,90,1
MM,91,1
IF,91,1
TM,92,1
IF,92,1
TM,93,1
JBS,93,1
UF,94,1
BM,94,1
CAG,95,1
VB,95,1
MB,96,1
WWM,96,1
CS,97,1
MB,97,1
VB,98,1
NO,98,1
DB,99,1
HZ,99,1
RY,99,1
TM,100,1
MB,100,1
WWM,100,1
TP,101a,1
JBS,101a,1
JKB,101b,1
TP,101b,1
WWM,102,1
IF,102,1
KS,103,1
TP,103,1
KT,104,1
BM,104,1
KT,105,1
MM,105,1
RM,106,1
WWM,106,1
DB,107,1
JKB,107,1
CS,108,1
MR,108,1
MB,109,1
RD,109,1
NP,110,1
RD,110,1
SD,111,1
ND,111,1
WWM,112,1
JJL,112,1
MM,113a,1
NU,113a,1
WWM,113a,1
WWM,113b,1
PA,113b,1
MM,113b,1
NU,113b,1
PB,114,1
MM,114,1
KU,115,1
UT,115,1
NO,116,1
UT,116,1
KS,117,1
KO,117,1
JKB,118,1
TP,118,1
VK,118,1
JBS,118,1
FK,119,1
PA,119,1
NO,120,1
NP,120,1
RD,120,1
WWM,121,1
KD,121,1
VK,122,1
ND,122,1
CE,123,1
DB,123,1
JBS,123,1
RM,124,1
NU,124,1
VB,125,1
IF,125,1
MAW,126,1
DB,126,1
FK,127,1
KT,127,1
MB,128,1
UT,128,1
KS,129,1
JBS,129,1
BM,130,1
PA,130,1
WWM,131,1
HZ,131,1
VK,132,1
VB,132,1
HZ,132,1
KD,133,1
TP,133,1
WWM,133,1
TM,134,1
MG,134,1
UT,135,1
IF,135,1
KT,136a,1
NG,136a,1
CE,136b,1
BM,136b,1
TM,137,1
TP,137,1
KT,138,1
KU,138,1
NO,139,1
MB,139,1
CE,140,1
DB,140,1
JBS,140,1
UT,141,1
HZ,141,1
VK,141,1
CAG,142,1
GVB,142,1
PB,143,1
NG,143,1
MB,144,1
HM,144,1
KD,145,1
MB,145,1
RM,146,1
NU,146,1
BM,147,1
TM,147,1
MAW,148,1
RM,148,1
KU,149,1
TP,149,1
CS,150,1
MB,150,1
FK,151,1
MB,151,1
PB,152,1
RM,152,1
NU,153,1
TM,153,1
RM,154,1
JJL,154,1
KS,155,1
JBS,155,1
NU,156,1
IF,156,1
RY,157,1
PA,157,1
RM,158,1
UF,158,1
KT,159a,1
TM,159a,1
KT,159b,1
NU,159b,1
IF,159b,1
TM,159b,1
UT,160,1
CS,160,1
MR,161,1
WWM,161,1
MR,162,1
MB,162,1
UT,163,1
HZ,163,1
FK,164a,1
IF,164a,1
MM,164b,1
IF,164b,1
FK,164c,1
NG,164c,1
DB,164d,1
JKB,164d,1
ND,164d,1
FK,164d,1
UF,164e,1
MB,164e,1
MBE,164f,1
TP,164f,1
UF,164g,1
WWM,164g,1
TM,164h,1
UT,164h,1
TM,164i,1
TP,164i,1
WWM,164i,1
BM,164j,1
UF,164j,1
FK,164k,1
MB,164k,1
MM,164l,1
PA,164l,1
TM,164m,1
CAG,164m,1
UF,164n,1
BG,164n,1
BM,164o,1
WWM,164o,1
KD,164p,1
FK,164p,1
MM,164q,1
NG,164q,1
BG,164r,1
UF,164r,1
BG,164s,1
FK,164s,1
KT,164t,1
VB,164t,1
MB,164u,1
JBS,164u,1
CE,164v,1
KS,164v,1
MAW,164v,1
ND,164v,1
JBS,164v,1
UT,164v,1
DB,164v,1
UF,164v,1
JW,164v,1
RY,164w,1
WWM,164w,1
JJL,164x,1
VK,164x,1
MB,164y,1
MM,164y,1
RY,164z,1
KU,164z,1
MM,164z,1
BG,164aa,1
DB,164aa,1
FK,164aa,1
MAW,164aa,1
MM,164ab,1
WWM,164ab,1
JKB,164ac,1
MM,164ac,1
WWM,164ad,1
JB,164ad,1
MM,164ae,1
VB,164ae,1
BG,164af,1
UF,164af,1
KD,164ag,1
MB,164ag,1
MB,164ah,1
UT,164ah,1
CAG,164ai,1
WWM,164ai,1
RD,165,1
NP,165,1
KO,166,1
ND,166,1
VK,167,1
VB,167,1
TM,168,1
NG,168,1
BM,169,1
MB,169,1
TM,170,1
TP,170,1
WE,170,1
MM,171,1
MS,171,1
TP,171,1
VB,171,1
PB,172,1
WWM,172,1
MB,173a,1
CS,173a,1
MR,173b,1
MB,173b,1
TM,173c,1
MB,173c,1
CS,174,1
MB,174,1
CS,175,1
KO,175,1
RY,176,1
NO,176,1
RM,177,1
NU,177,1
DB,178,1
KU,178,1
DB,179,1
KK,179,1
VK,180,1
MR,180,1
WWM,181,1
NG,181,1
WWM,182,1
BM,182,1
