from;to;relation
Regulus Arcturus Black;Sirius Black;1
Regulus Arcturus Black;Bellatrix Lestrange;1
Regulus Arcturus Black;Lord Voldemort;1
Sirius Black;Regulus Arcturus Black;1
Sirius Black;Albus Dumbledore;2
Sirius Black;Hermione Granger;2
Sirius Black;Bellatrix Lestrange;1
Sirius Black;Remus Lupin;2
Sirius Black;Lucius Malfoy;1
Sirius Black;Narcissa Malfoy;1
Sirius Black;Minerva McGonagall;2
Sirius Black;"Alastor „Mad-Eye"" Moody";2
Sirius Black;Peter Pettigrew;1
Sirius Black;Harry Potter;2
Sirius Black;James Potter;2
Sirius Black;Lily Potter;2
Sirius Black;Lord Voldemort;1
Sirius Black;Severus Snape;1
Sirius Black;Nymphadora Tonks;2
Sirius Black;Arthur Weasley;2
Sirius Black;Fred Weasley;2
Sirius Black;George Weasley;2
Sirius Black;Ginny Weasley;2
Sirius Black;Ron Weasley;2
Lavender Brown;Hermione Granger;1
Lavender Brown;Neville Longbottom;2
Lavender Brown;Ron Weasley;2
Cho Chang;Cedric Diggory;2
Cho Chang;Seamus Finnigan;2
Cho Chang;Hermione Granger;2
Cho Chang;Neville Longbottom;2
Cho Chang;Harry Potter;2
Cho Chang;Lord Voldemort;1
Cho Chang;Ron Weasley;2
Vincent Crabbe Sr.;Regulus Arcturus Black;2
Vincent Crabbe Sr.;Vincent Crabbe;2
Vincent Crabbe Sr.;Barty Crouch Sr.;2
Vincent Crabbe Sr.;Bellatrix Lestrange;2
Vincent Crabbe Sr.;Lucius Malfoy;2
Vincent Crabbe Sr.;Peter Pettigrew;2
Vincent Crabbe Sr.;Lord Voldemort;2
Vincent Crabbe Sr.;Severus Snape;2
Vincent Crabbe;Vincent Crabbe Sr.;2
Vincent Crabbe;Dolores Janes Umbridge;2
Vincent Crabbe;Gregory Goyle;2
Vincent Crabbe;Hermione Granger;1
Vincent Crabbe;Draco Malfoy;2
Vincent Crabbe;Harry Potter;1
Vincent Crabbe;Ron Weasley;1
Barty Crouch Sr.;Vincent Crabbe Sr.;2
Barty Crouch Sr.;Barty Crouch Jr.;1
Barty Crouch Sr.;Igor Karkaroff;2
Barty Crouch Sr.;Percy Weasley;2
Barty Crouch Jr.;Barty Crouch Sr.;1
Barty Crouch Jr.;Hermione Granger;1
Barty Crouch Jr.;Neville Longbottom;2
Barty Crouch Jr.;Minerva McGonagall;1
Barty Crouch Jr.;"Alastor „Mad-Eye"" Moody";1
Barty Crouch Jr.;Harry Potter;1
Barty Crouch Jr.;Lord Voldemort;2
Barty Crouch Jr.;Severus Snape;1
Barty Crouch Jr.;Peter Pettigrew;2
Fleur Delacour;Hermione Granger;2
Fleur Delacour;Bellatrix Lestrange;1
Fleur Delacour;Neville Longbottom;2
Fleur Delacour;"Alastor „Mad-Eye"" Moody";2
Fleur Delacour;Harry Potter;2
Fleur Delacour;Bill Weasley;2
Fleur Delacour;Ginny Weasley;2
Fleur Delacour;Molly Weasley;2
Fleur Delacour;Ron Weasley;2
Cedric Diggory;Cho Chang;2
Cedric Diggory;Harry Potter;2
Cedric Diggory;Lord Voldemort;1
Alberforth Dumbledore;Albus Dumbledore;2
Alberforth Dumbledore;Hermione Granger;2
Alberforth Dumbledore;Harry Potter;2
Alberforth Dumbledore;Ron Weasley;2
Alberforth Dumbledore;Dobby;2
Albus Dumbledore;Sirius Black;2
Albus Dumbledore;Alberforth Dumbledore;2
Albus Dumbledore;Petunia Dursley;1
Albus Dumbledore;Vernon Dursley;1
Albus Dumbledore;Hermione Granger;2
Albus Dumbledore;Rubeus Hagrid;2
Albus Dumbledore;Bellatrix Lestrange;1
Albus Dumbledore;Remus Lupin;2
Albus Dumbledore;Minerva McGonagall;2
Albus Dumbledore;Minerva McGonagall;2
Albus Dumbledore;"Alastor „Mad-Eye"" Moody";2
Albus Dumbledore;Peter Pettigrew;1
Albus Dumbledore;Harry Potter;2
Albus Dumbledore;James Potter;2
Albus Dumbledore;Lily Potter;2
Albus Dumbledore;Quirinus Quirrell;1
Albus Dumbledore;Lord Voldemort;1
Albus Dumbledore;Rita Skeeter;1
Albus Dumbledore;Severus Snape;2
Albus Dumbledore;Dolores Janes Umbridge;1
Albus Dumbledore;Dolores Janes Umbridge;1
Albus Dumbledore;Arthur Weasley;2
Albus Dumbledore;Bill Weasley;2
Albus Dumbledore;Charlie Weasley;2
Albus Dumbledore;Fred Weasley;2
Albus Dumbledore;George Weasley;2
Albus Dumbledore;Ginny Weasley;2
Albus Dumbledore;Molly Weasley;2
Albus Dumbledore;Percy Weasley;2
Albus Dumbledore;Ron Weasley;2
Dudley Dursley;Dudley Dursley;2
Dudley Dursley;Vernon Dursley;2
Dudley Dursley;Harry Potter;1
Dudley Dursley;Rubeus Hagrid;1
Petunia Dursley;Albus Dumbledore;1
Petunia Dursley;Dudley Dursley;2
Petunia Dursley;Petunia Dursley;2
Petunia Dursley;Harry Potter;1
Petunia Dursley;Lily Potter;1
Vernon Dursley;Albus Dumbledore;1
Vernon Dursley;Dudley Dursley;2
Vernon Dursley;Petunia Dursley;2
Vernon Dursley;Harry Potter;1
Argus Filch;Sirius Black;1
Argus Filch;Albus Dumbledore;2
Argus Filch;Rubeus Hagrid;1
Argus Filch;Minerva McGonagall;1
Argus Filch;Peter Pettigrew;1
Argus Filch;Harry Potter;1
Argus Filch;James Potter;1
Argus Filch;Severus Snape;2
Argus Filch;Dolores Janes Umbridge;2
Argus Filch;Fred Weasley;1
Argus Filch;George Weasley;1
Seamus Finnigan;Lavender Brown;2
Seamus Finnigan;Cho Chang;2
Seamus Finnigan;Hermione Granger;2
Seamus Finnigan;Neville Longbottom;2
Seamus Finnigan;Luna Lovegood;2
Seamus Finnigan;Harry Potter;2
Seamus Finnigan;Ginny Weasley;2
Seamus Finnigan;Ron Weasley;2
Nicolas Flamel;Albus Dumbledore;2
Cornelius Fudge;Albus Dumbledore;1
Cornelius Fudge;Lucius Malfoy;2
Cornelius Fudge;Harry Potter;1
Cornelius Fudge;Dolores Janes Umbridge;2
Cornelius Fudge;Arthur Weasley;1
Cornelius Fudge;Percy Weasley;2
Goyle Sr.;Vincent Crabbe Sr.;2
Goyle Sr.;Gregory Goyle;2
Goyle Sr.;Lord Voldemort;2
Gregory Goyle;Goyle Sr.;2
Gregory Goyle;Vincent Crabbe;2
Gregory Goyle;Draco Malfoy;2
Gregory Goyle;Harry Potter;1
Gregory Goyle;Lord Voldemort;2
Hermione Granger;Harry Potter;2
Hermione Granger;Ron Weasley;2
Hermione Granger;George Weasley;2
Hermione Granger;Molly Weasley;2
Hermione Granger;Severus Snape;2
Hermione Granger;Luna Lovegood;2
Hermione Granger;Neville Longbottom;2
Hermione Granger;Lord Voldemort;1
Hermione Granger;Peter Pettigrew;1
Hermione Granger;Draco Malfoy;1
Hermione Granger;Argus Filch;1
Hermione Granger;Gregory Goyle;1
Rubeus Hagrid;Lord Voldemort;1
Rubeus Hagrid;Fluffy;2
Rubeus Hagrid;Aragog;2
Rubeus Hagrid;Grawp;2
Rubeus Hagrid;Ron Weasley;2
Rubeus Hagrid;Hermione Granger;2
Rubeus Hagrid;Severus Snape;2
Rubeus Hagrid;Harry Potter;2
Rubeus Hagrid;Neville Longbottom;2
Rubeus Hagrid;Olympe Maxime;2
Rubeus Hagrid;Minerva McGonagall;2
Rubeus Hagrid;Albus Dumbledore;2
Igor Karkaroff;Lord Voldemort;1
Igor Karkaroff;Viktor Krum;2
Viktor Krum;Igor Karkaroff;2
Viktor Krum;Harry Potter;2
Viktor Krum;Fleur Delacour;2
Viktor Krum;Cedric Diggory;2
Viktor Krum;Hermione Granger;2
