"id"	"schoolyear"	"gender"	"house"
1	1989	1	4
2	1989	2	1
3	1989	2	1
4	1991	1	3
5	1991	1	4
6	1989	1	4
7	1988	1	2
8	1990	2	3
9	1992	1	1
10	1990	1	1
11	1991	1	1
12	1993	2	1
13	1994	1	1
14	1991	1	4
15	1990	1	3
16	1994	2	2
17	1991	1	2
18	1995	1	1
19	1989	1	1
20	1989	1	1
21	1992	2	1
22	1994	1	4
23	1991	1	4
24	1991	2	2
25	1991	1	1
26	1991	2	1
27	1994	1	1
28	1991	1	2
29	1990	2	1
30	1994	1	2
31	1991	2	1
32	1991	2	2
33	1989	1	1
34	1988	1	4
35	1992	2	3
36	1994	1	4
37	1991	2	3
38	1990	1	3
39	1986	1	4
40	1991	1	3
41	1989	1	4
42	1991	2	4
43	1994	2	1
44	1991	1	1
45	1987	1	1
46	1994	2	3
47	1994	1	2
48	1991	2	3
49	1991	2	4
50	1991	2	1
51	1987	2	3
52	1987	1	1
53	1988	1	4
54	1989	1	3
55	1993	2	1
56	1991	1	1
57	1995	2	2
58	1991	1	1
59	1994	1	3
60	1991	2	2
61	1991	1	3
62	1991	1	4
63	1991	1	4
64	1991	1	2
