"id"	"name"
1	"Adrian Pucey"
2	"Alicia Spinnet"
3	"Angelina Johnson"
4	"Anthony Goldstein"
5	"Blaise Zabini"
6	"C. Warrington"
7	"Cedric Diggory"
8	"Cho Chang"
9	"Colin Creevey"
10	"Cormac McLaggen"
11	"Dean Thomas"
12	"Demelza Robins"
13	"Dennis Creevey"
14	"Draco Malfoy"
15	"Eddie Carmichael"
16	"Eleanor Branstone"
17	"Ernie Macmillan"
18	"Euan Abercrombie"
19	"Fred Weasley"
20	"George Weasley"
21	"Ginny Weasley"
22	"Graham Pritchard"
23	"Gregory Goyle"
24	"Hannah Abbott"
25	"Harry James Potter"
26	"Hermione Granger"
27	"Jimmy Peakes"
28	"Justin Finch-Fletchley"
29	"Katie Bell"
30	"Kevin Whitby"
31	"Lavender Brown"
32	"Leanne"
33	"Lee Jordan"
34	"Lucian Bole"
35	"Luna Lovegood"
36	"Malcolm Baddock"
37	"Mandy Brocklehurst"
38	"Marcus Belby"
39	"Marcus Flint"
40	"Michael Corner"
41	"Miles Bletchley"
42	"Millicent Bulstrode"
43	"Natalie McDonald"
44	"Neville Longbottom"
45	"Oliver Wood"
46	"Orla Quirke"
47	"Owen Cauldwell"
48	"Padma Patil"
49	"Pansy Parkinson"
50	"Parvati Patil"
51	"Penelope Clearwater"
52	"Percy Weasley"
53	"Peregrine Derrick"
54	"Roger Davies"
55	"Romilda Vane"
56	"Ronald Weasley"
57	"Rose Zeller"
58	"Seamus Finnigan"
59	"Stewart Ackerley"
60	"Susan Bones"
61	"Terry Boot"
62	"Theodore Nott"
63	"Vincent Crabbe"
64	"Zacharias Smith"
