from,to,relation,time
1,2,3,2019
1,2,4,2019
1,7,1,2019
1,7,1,2019
1,10,1,2019
1,9,1,2019
1,12,1,2019
1,12,1,2019
1,17,3,2019
1,19,1,2019
1,20,1,2019
1,20,1,2019
1,20,1,2019
1,20,1,2019
1,20,1,2020
1,21,1,2019
1,22,1,2019
1,24,1,2019
1,25,1,2019
1,25,1,2019
1,26,1,2019
1,27,1,2019
1,27,1,2019
1,29,1,2019
1,29,1,2019
1,29,1,2019
1,34,1,2019
2,5,1,2015
2,5,1,2015
2,5,3,2016
2,5,1,2017
2,5,1,2017
2,5,1,2020
2,8,1,2016
2,8,1,2017
2,8,1,2017
2,8,1,2017
2,9,1,2015
2,9,1,2016
2,9,1,2019
2,10,1,2020
2,11,4,2017
2,11,1,2019
2,11,1,2019
2,12,1,2017
2,12,1,2019
2,13,2,n/a
2,13,1,2016
2,13,1,2017
2,13,1,2017
2,13,1,2017
2,13,1,2019
2,13,1,2019
2,13,1,2019
2,13,1,2019
2,13,1,2020
2,15,1,2017
2,15,3,2019
2,17,1,2017
2,17,1,2017
2,17,1,2017
2,17,1,2017
2,17,1,2017
2,17,4,2019
2,19,1,2015
2,19,1,2015
2,19,1,2017
2,20,1,2015
2,20,1,2017
2,20,1,2019
2,20,1,2019
2,20,1,2019
2,20,3,2019
2,23,4,2015
2,24,1,2015
2,24,1,2015
2,24,1,2015
2,24,1,2019
2,25,1,2017
2,25,1,2019
2,25,1,2019
2,26,1,2015
2,26,1,2015
2,26,1,2016
2,28,1,2015
2,28,1,2015
2,28,1,2015
2,28,1,2015
2,28,1,2016
2,28,1,2016
2,28,1,2017
2,28,1,2017
2,28,1,2017
2,29,1,2017
2,29,1,2019
2,30,1,2015
2,30,1,2015
2,30,1,2015
2,30,1,2015
2,30,1,2016
2,30,1,2016
2,30,1,2016
2,30,1,2016
2,30,1,2017
2,30,1,2017
2,30,1,2017
2,30,1,2019
2,30,1,2019
2,30,1,2019
2,31,1,2015
2,31,1,2017
2,31,1,2017
