from,to,relation,time
amil,anne,3,2019
amil,anne,4,2019
amil,blon,1,2019
amil,blon,1,2019
amil,bruc,1,2019
amil,boss,1,2019
amil,dran,1,2019
amil,dran,1,2019
amil,gian,3,2019
amil,kraf,1,2019
amil,leon,1,2019
amil,leon,1,2019
amil,leon,1,2019
amil,leon,1,2019
amil,leon,1,2020
amil,lion,1,2019
amil,lisa,1,2019
amil,mill,1,2019
amil,mine,1,2019
amil,mine,1,2019
amil,olli,1,2019
amil,prov,1,2019
amil,prov,1,2019
amil,rika,1,2019
amil,rika,1,2019
amil,rika,1,2019
amil,vonw,1,2019
anne,bild,1,2015
anne,bild,1,2015
anne,bild,3,2016
anne,bild,1,2017
anne,bild,1,2017
anne,bild,1,2020
anne,bona,1,2016
anne,bona,1,2017
anne,bona,1,2017
anne,bona,1,2017
anne,boss,1,2015
anne,boss,1,2016
anne,boss,1,2019
anne,bruc,1,2020
anne,dieh,4,2017
anne,dieh,1,2019
anne,dieh,1,2019
anne,dran,1,2017
anne,dran,1,2019
anne,fabe,2,n/a
anne,fabe,1,2016
anne,fabe,1,2017
anne,fabe,1,2017
anne,fabe,1,2017
anne,fabe,1,2019
anne,fabe,1,2019
anne,fabe,1,2019
anne,fabe,1,2019
anne,fabe,1,2020
anne,filb,1,2017
anne,filb,3,2019
anne,gian,1,2017
anne,gian,1,2017
anne,gian,1,2017
anne,gian,1,2017
anne,gian,1,2017
anne,gian,4,2019
anne,kraf,1,2015
anne,kraf,1,2015
anne,kraf,1,2017
anne,leon,1,2015
anne,leon,1,2017
anne,leon,1,2019
anne,leon,1,2019
anne,leon,1,2019
anne,leon,3,2019
anne,milk,4,2015
anne,mill,1,2015
anne,mill,1,2015
anne,mill,1,2015
anne,mill,1,2019
anne,mine,1,2017
anne,mine,1,2019
anne,mine,1,2019
anne,olli,1,2015
anne,olli,1,2015
anne,olli,1,2016
anne,razz,1,2015
anne,razz,1,2015
anne,razz,1,2015
anne,razz,1,2015
anne,razz,1,2016
anne,razz,1,2016
anne,razz,1,2017
anne,razz,1,2017
anne,razz,1,2017
anne,rika,1,2017
anne,rika,1,2019
anne,schm,1,2015
anne,schm,1,2015
anne,schm,1,2015
anne,schm,1,2015
anne,schm,1,2016
anne,schm,1,2016
anne,schm,1,2016
anne,schm,1,2016
anne,schm,1,2017
anne,schm,1,2017
anne,schm,1,2017
anne,schm,1,2019
anne,schm,1,2019
anne,schm,1,2019
anne,schn,1,2015
anne,schn,1,2017
anne,schn,1,2017
anne,schn,1,2017
anne,tonb,1,2015
anne,tonb,1,2015
anne,vonw,3,2015
anne,vonw,1,2016
anne,vonw,1,2016
anne,vonw,1,2017
anne,vonw,1,2017
anne,vonw,1,2017
anne,vonw,1,2019
anne,vonw,1,2020
anne,vonw,1,2019
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2015
anne,wand,1,2016
anne,wand,1,2016
anne,wand,1,2016
anne,wand,1,2016
anne,wand,1,2016
anne,wand,1,2016
anne,wand,1,2017
anne,wand,1,2017
anne,wand,1,2017
aetn,avec,1,2020
aetn,bona,1,2019
aetn,boss,1,2020
aetn,filb,2,n/a
aetn,filb,1,2018
aetn,filb,1,2019
aetn,gian,1,2018
aetn,gian,1,2018
aetn,leon,1,2018
aetn,leon,1,2020
aetn,lisa,1,2019
aetn,prov,1,2020
aetn,razz,1,2019
aetn,schm,1,2016
aetn,schn,1,2018
aetn,vonw,1,2018
avec,dran,1,2016
avec,fabe,1,2016
avec,fabe,1,2016
avec,fabe,1,2017
avec,filb,1,2018
avec,prov,1,2020
bild,blac,1,2019
bild,boss,1,2020
bild,dieh,1,2017
bild,dieh,1,2018
bild,fabe,1,2017
bild,fabe,1,2019
bild,fabe,1,2019
bild,fabe,1,2019
bild,filb,1,2016
bild,filb,1,2017
bild,filb,1,2017
bild,filb,1,2018
bild,frit,1,2016
bild,frit,1,2016
bild,frit,1,2016
bild,frit,1,2017
bild,frit,1,2017
bild,frit,1,2017
bild,frit,1,2019
bild,gian,1,2017
bild,gian,1,2017
bild,gian,1,2018
bild,gian,1,2018
bild,kett,1,2018
bild,kett,1,2018
bild,kett,1,2018
bild,kett,1,2018
bild,kraf,1,2015
