id,name1,name2,person,music,instagram,spotify
1,amil,Amilli,1,MightyKillYa,17,212
2,anne,AnnenMayKantereit,3,Irrsinn,706,2408
3,aetn,Aetna,2,Humming,8,805
4,avec,AVEC,1,earcandy,5,702
5,bild,Bilderbuch,4,Machin,82,497
6,blac,Black Sea Dahu,1,Mouthwatering,32,226
7,blon,Blond,3,BetonKlunker,34,60
8,bona,Bonaparte,1,Sony,16,306
9,boss,Bosse,1,Vertigo,107,1539
10,bruc,Bruckner,2,Columbia_local,16,265
11,dieh,DieHoechsteEisenbahn,4,Tapete,10,141
12,dran,Drangsal,1,Caroline,32,69
13,fabe,Faber,1,Irrsinn,103,490
14,fibe,Fibel,4,Downbeat,4,11
15,filb,FilBoRiva,1,Humming,21,647
16,frit,Frittenbude,3,Audiolith,14,167
17,gian,GiantRooks,5,Irrsinn,94,1570
18,kett,Kettcar,5,GrandHotel,13,152
19,kraf,Kraftklub,5,Universal,293,884
20,leon,Leoniden,5,TwoPeaceSign,47,424
21,lion,LionSphere,4,LionSphere,5,119
22,lisa,LisaMorgenstern,1,Lisa_Morgenstern,3,148
23,milk,MilkyChance,2,Vertigo,315,7532
24,mill,Milliarden,2,Zuckerplatte,14,182
25,mine,Mine,1,Caroline,27,284
26,olli,OlliSchulz,1,Trocadero,436,318
27,prov,Provinz,4,Warner,70,754
28,razz,Razz,4,Long_Branch,15,213
29,rika,Rikas,4,Columbia_local,12,152
30,schm,Schmutzki,3,BaemCargo,7,74
31,schn,SchnipoSchranke,2,Buback,6,86
32,ster,StereoTotal,2,Desert,5,160
33,tonb,Tonbandgeraet,,Vertigo,15,96
34,vonw,VonwegenLisbeth,5,Columbia_local,82,552
35,wand,Wanda,4,Universal,36,428
