from,to,weight,relation,start,end,tt
amann,hitler,3,1,1920,1939,1
bechstein,hitler,3,1,1921,1939,2
below,hitler,3,1,1937,1939,8
blomberg,hitler,3,1,1933,1939,8
bormann,hitler,3,1,1933,1939,8
bouhler,hitler,3,3,1921,1939,2
bruckmann,hitler,3,1,1920,1939,1
brueckner,hitler,3,1,1930,1939,5
chamberlain,hitler,1,2,1919,1927,1
dietrich,hitler,3,3,1929,1939,5
dinter,hitler,2,2,1920,1928,2
dirksen,hitler,3,1,1922,1922,2
eckart,hitler,3,1,1919,1939,1
epp,hitler,3,3,1920,1939,1
esser,hitler,2,1,1920,1939,2
feder,hitler,1,3,1920,1939,1
frank,hitler,3,3,1919,1939,1
guenther,hitler,1,2,1920,1939,2
hoffmann,hitler,3,1,1920,1939,1
kirdorf,hitler,3,3,1927,1939,4
lammers,hitler,3,3,1933,1939,8
maurice,hitler,2,1,1919,1939,1
mayr,hitler,3,3,1919,1921,1
salomon,hitler,3,3,1924,1939,2
poehner,hitler,3,3,1920,1925,1
reichenau,hitler,3,4,1932,1939,6
rosenberg,hitler,1,2,1920,1939,2
schaub,hitler,3,3,1920,1939,1
schreck,hitler,3,1,1921,1939,2
speer,hitler,3,4,1933,1939,8
wagner,hitler,3,1,1923,1939,2
himmler,hitler,3,1,1923,1939,2
hess,hitler,3,1,1920,1939,1
goebbels,hitler,3,1,1924,1939,3
heydrich,hitler,3,2,1931,1939,6
goering,hitler,3,1,1922,1939,2
schirach,hitler,3,1,1925,1939,4
bohlen,hitler,3,4,1933,1939,8
thyssen,hitler,2,3,1930,1939,5
frick ,hitler,2,3,1925,1939,4
fick,hitler,2,3,1933,1939,8
schwarz,hitler,3,3,1931,1939,6
schacht,hitler,3,3,1932,1939,7
weber,hitler,3,1,1920,1939,1
borsig,hitler,3,5,1922,1932,7
papen,hitler,3,1,1932,1939,6
gansser,hitler,3,5,1922,1938,2
hugenberg,hitler,3,3,1929,1939,5
keppler,hitler,3,3,1934,1939,8
goerdeler,hitler,2,3,1934,1939,8
scheubnerrichter,hitler,2,2,1920,1923,2
hossbach,hitler,3,3,1934,1939,8
aust,hitler,3,5,1922,1939,2
kerrl,hitler,2,3,1935,1939,8
ribbentrop,hitler,2,3,1934,1939,8
luedecke,hitler,3,1,1922,1933,2
leybold,hitler,1,3,1923,1924,2
lehmann,hitler,3,5,1920,1939,1
darre,hitler,2,3,1930,1939,5
hanfstaengl,hitler,3,5,1922,1934,2
boepple,hitler,3,2,1920,1939,2
sesselmann,hitler,3,2,1919,1939,1
kapp,hitler,2,2,1920,1922,2
graf,hitler,3,1,1919,1939,1
kursell,hitler,1,2,1921,1939,2
schickedanz,hitler,1,2,1921,1939,2
koerner,hitler,3,1,1920,1933,2
fiehler,hitler,3,1,1923,1939,2
strauss,hitler,3,5,1930,1939,6
hessen,hitler,3,2,1930,1939,6
hohenlohe,hitler,3,1,1933,1939,8
biskupski,hitler,3,5,1920,1939,1
roder,hitler,3,3,1924,1924,2
singer,hitler,3,1,1920,1939,2
wiedemann,hitler,2,3,1935,1939,8
stosstrupp,hitler,3,2,1923,1923,2
berchtold,hitler,3,2,1922,1939,2
kempka,hitler,1,1,1932,1939,6
troost,hitler,1,4,1930,1934,6
neithardt,hitler,3,2,1924,1924,2
feverlag,hitler,3,2,1920,1939,1
riefenstahl,hitler,3,1,1933,1939,8
burhenne,hitler,3,5,1922,1939,2
biv,hitler,3,5,1922,1939,2
streicher,hitler,3,1,1922,1939,2
mayr,hitler,3,1,1919,1921,1
ludendorff,hitler,3,2,1920,1937,1
kriebel,hitler,3,2,1922,1937,2
pfordten,hitler,2,2,1923,1939,2
roehm,hitler,3,1,1919,1925,1
bouhler,hitler,3,1,1925,1939,4
springorum,hitler,3,5,1932,1939,7
pietzsch,hitler,3,5,1930,1939,5
hierl,hitler,3,2,1919,1939,1
pleiger,hitler,1,3,1932,1939,7
kehrl,hitler,2,1,1934,1939,8
class,hitler,3,1,1919,1939,1
sa,hitler,3,2,1920,1939,1
ss,hitler,3,2,1925,1939,4
hitler,nsdap,NA,6,NA,NA,NA
singer,nsdap,NA,6,NA,NA,NA
wiedemann,nsdap,NA,6,NA,NA,NA
berchtold,nsdap,NA,6,NA,NA,NA
berchtold,sa,NA,6,NA,NA,NA
berchtold,stosstrupp,NA,6,NA,NA,NA
berchtold,ss,NA,6,NA,NA,NA
kempka,nsdap,NA,6,NA,NA,NA
kempka,ss,NA,6,NA,NA,NA
fiehler,stosstrupp,NA,6,NA,NA,NA
maurice,stosstrupp,NA,6,NA,NA,NA
schaub,stosstrupp,NA,6,NA,NA,NA
schreck,stosstrupp,NA,6,NA,NA,NA
weber,stosstrupp,NA,6,NA,NA,NA
himmler,nsdap,NA,6,NA,NA,NA
himmler,sa,NA,6,NA,NA,NA
himmler,ss,NA,6,NA,NA,NA
hess,nsdap,NA,6,NA,NA,NA
hess,ss,NA,6,NA,NA,NA
hess,sa,NA,6,NA,NA,NA
goebbels,nsdap,NA,6,NA,NA,NA
heydrich,ss,NA,6,NA,NA,NA
heydrich,nsdap,NA,6,NA,NA,NA
goering,nsdap,NA,6,NA,NA,NA
goering,sa,NA,6,NA,NA,NA
schirach,nsdap,NA,6,NA,NA,NA
schirach,sa,NA,6,NA,NA,NA
bohlen,nsdap,NA,6,NA,NA,NA
schacht,nsdap,NA,6,NA,NA,NA
lehmann,nsdap,NA,6,NA,NA,NA
boepple,nsdap,NA,6,NA,NA,NA
sesselmann,nsdap,NA,6,NA,NA,NA
mayr,nsdap,NA,6,NA,NA,NA
roehm,nsdap,NA,6,NA,NA,NA
roehm,sa,NA,6,NA,NA,NA
hierl,nsdap,NA,6,NA,NA,NA
thyssen,nsdap,NA,6,NA,NA,NA
papen,nsdap,NA,6,NA,NA,NA
keppler,nsdap,NA,6,NA,NA,NA
keppler,ss,NA,6,NA,NA,NA
kerrl,nsdap,NA,6,NA,NA,NA
ribbentrop,nsdap,NA,6,NA,NA,NA
darre,ss,NA,6,NA,NA,NA
darre,nsdap,NA,6,NA,NA,NA
hanfstaengl,nsdap,NA,6,NA,NA,NA
fiehler,nsdap,NA,6,NA,NA,NA
amann,nsdap,NA,6,NA,NA,NA
bechstein,nsdap,NA,6,NA,NA,NA
schaub,nsdap,NA,6,NA,NA,NA
wagner,nsdap,NA,6,NA,NA,NA
schreck,nsdap,NA,6,NA,NA,NA
schreck,ss,NA,6,NA,NA,NA
hoffmann,nsdap,NA,6,NA,NA,NA
esser,nsdap,NA,6,NA,NA,NA
mayr,nsdap,NA,6,NA,NA,NA
rosenberg,nsdap,NA,6,NA,NA,NA
kirdorf,nsdap,NA,6,NA,NA,NA
reichenau,nsdap,NA,6,NA,NA,NA
reichenau,sa,NA,6,NA,NA,NA
lammers,ss,NA,6,NA,NA,NA
epp,nsdap,NA,6,NA,NA,NA
epp,sa,NA,6,NA,NA,NA
bouhler,nsdap,NA,6,NA,NA,NA
bouhler,ss,NA,6,NA,NA,NA
bruckmann,nsdap,NA,6,NA,NA,NA
guenther,nsdap,NA,6,NA,NA,NA
salomon,nsdap,NA,6,NA,NA,NA
salomon,sa,NA,6,NA,NA,NA
eckart,nsdap,NA,6,NA,NA,NA
poehner,nsdap,NA,6,NA,NA,NA
maurice,nsdap,NA,6,NA,NA,NA
maurice,sa,NA,6,NA,NA,NA
maurice,ss,NA,6,NA,NA,NA
dietrich,nsdap,NA,6,NA,NA,NA
dietrich,ss,NA,6,NA,NA,NA
bormann,nsdap,NA,6,NA,NA,NA
brueckner,nsdap,NA,6,NA,NA,NA
dinter,nsdap,NA,6,NA,NA,NA
feder,nsdap,NA,6,NA,NA,NA
frank,nsdap,NA,6,NA,NA,NA
graf,nsdap,NA,6,NA,NA,NA
graf,ss,NA,6,NA,NA,NA
graf,sa,NA,6,NA,NA,NA
kursell,nsdap,NA,6,NA,NA,NA
schickedanz,nsdap,NA,6,NA,NA,NA
koerner,nsdap,NA,6,NA,NA,NA
streicher,nsdap,NA,6,NA,NA,NA
gansser,nsdap,NA,6,NA,NA,NA
luedecke,nsdap,NA,6,NA,NA,NA
ludendorff,nsdap,NA,6,NA,NA,NA
kriebel,nsdap,NA,6,NA,NA,NA
kriebel,sa,NA,6,NA,NA,NA
pfordten,nsdap,NA,6,NA,NA,NA
springorum,nsdap,NA,6,NA,NA,NA
pietzsch,nsdap,NA,6,NA,NA,NA
pleiger,nsdap,NA,6,NA,NA,NA
kehrl,nsdap,NA,6,NA,NA,NA
schacht,nsdap,NA,6,NA,NA,NA
strauss,nsdap,NA,6,NA,NA,NA
