from,to,weight
Arquette,Boyhood,3
Arquette,CharliesWelt,1
Arquette,ElectricSlide,1
Arquette,GirlInProgress,1
Arquette,VijayUndIch,1
Bale,AmericanHustle,2
Bale,AugeUmAuge,1
Bale,Exodus,1
Bale,KnightsOfCups,1
Bale,TheBigShort,1
Bale,TheDarkKnightRises,2
Bale,TheFighter,3
Bale,TheFlowersOfWar,1
Bale,ThePromise,1
Blanchett,BlueJasmin,3
Blanchett,Carol,1
Blanchett,Cinderella,1
Blanchett,DerHobbitSchlacht,1
Blanchett,DerHobbitSmaugs,1
Blanchett,DerHobbitUnerwarteteReise,1
Blanchett,DerMomentDerWahrheit,1
Blanchett,Drachenzaehmen2,1
Blanchett,KnightsOfCups,1
Blanchett,Manifesto,1
Blanchett,MonumentsMenUngewoehnlich,1
Blanchett,WerIstHanna,1
DayLewis,Lincoln,3
DiCaprio,BeforeTheFlood,1
DiCaprio,DergroßeGatsby,2
DiCaprio,DjangoUnchained,2
DiCaprio,Jedgar,1
DiCaprio,TheRevenant,3
DiCaprio,TheWolfOfWallstreet,2
Dujardin,9MoisFerme,1
Dujardin,DerUnbestechliche,1
Dujardin,DieMoebiusAffaere,1
Dujardin,MaennerUndDieFrauen,1
Dujardin,MeinZiemlichKleinerFreund,1
Dujardin,MonumentsMen,1
Dujardin,TheArtist,3
Dujardin,TheWolfOfWallstreet,1
Firth,BridgetJonesBaby,1
Firth,DameKoenigAsSpion,1
Firth,DevilsKnot,1
Firth,DieKameliendame,1
Firth,DieLiebeSeinesLebens,1
Firth,EinTollesLeben,1
Firth,Gambit,1
Firth,Genius,1
Firth,IchDarfNichtSchlafen,1
Firth,Kingsman,1
Firth,KingsSpeech,3
Firth,MagicInTheMoonlight,1
Hathaway,AliceImWunderland,1
Hathaway,Colossal,1
Hathaway,DonJon,1
Hathaway,Interstellar,2
Hathaway,LesMiserables,3
Hathaway,ManLerntNieAus,2
Hathaway,Rio,1
Hathaway,Rio2,1
