id,label,type,sex
12YearsASlave,12 years a Slave,1,NA
21JumpStreet,21 Jump Street,1,NA
30Rock,"30 Rock (Fernsehserie, Episode 7x09)",1,NA
9MoisFerme,9 mois ferme,1,NA
AChildsGardenOfPoetry,A Child's Garden of Poetry,1,NA
AliceImWunderland,Alice im Wunderland: Hinter den Spiegeln (Alice Through the Looking Glass),1,NA
AmericanHustle,American Hustle,1,NA
AnnaKarenina,Anna Karenina,1,NA
Anonymus,Anonymus (Anonymous),1,NA
Arquette,Patricia Arquette,2,1
AugeUmAuge,Auge um Auge (Out of the Furnace),1,NA
BadSanta2,Bad Santa 2,1,NA
Bale,Christian Bale,2,2
BeforeTheFlood,Before the Flood (Dokumentarfilm),1,NA
Beginners,Beginners,1,NA
BeingFlyyn,Being Flynn,1,NA
Bernie,Bernie – Leichen pflastern seinen Weg (Bernie),1,NA
BigEyes,Big Eyes,1,NA
BigFriendlyGiant,BFG – Big Friendly Giant (The BFG),1,NA
Birdsong,Birdsong,1,NA
BlackOrWhite,Black or White,1,NA
BlackSwan,Black Swan,1,NA
Blanchett,Cate Blanchett,2,1
Blitz,Blitz – Cop-Killer vs. Killer-Cop (Blitz),1,NA
BlueJasmin,Blue Jasmin,1,NA
BluesForWilladean,Blues for Willadean,1,NA
Boston,Boston (Patriots Day),1,NA
Boyhood,Boyhood,1,NA
BridgeOfSpies,Bridge of Spies - Der Unterhändler,1,NA
BridgetJonesBaby,Bridget Jones’ Baby (Bridget Jones’s Baby),1,NA
CarDogs,Car Dogs,1,NA
Carol,Carol,1,NA
Carrie,Carrie,1,NA
CharliesWelt,Charlies Welt – Wirklich nichts ist wirklich (A Glimpse Inside the Mind of Charles Swan III),1,NA
ChildreninNeed,Children in Need: Fantastic Beasts Special,1,NA
Cinderella,Cinderella,1,NA
CodenameUNCLE,Codename U.N.C.L.E. (The Man from U.N.C.L.E.),1,NA
Colossal,Colossal,1,NA
Community,"Community (Fernsehserie, 3 Folgen)",1,NA
Contraband,Contraband,1,NA
CrazyStupidLove,"Crazy, Stupid, Love.",1,NA
DallasBuyersClub,Dallas Buyers Club,1,NA
DameKoenigAsSpion,"Dame, König, As, Spion (Tinker, Tailor, Soldier, Spy)",1,NA
DarkSkies,Dark Skies – Sie sind unter uns (Dark Skies),1,NA
DasGlueckDerGrossenDinge,Das Glück der großen Dinge (What Maisie Knew),1,NA
DatingQueen,Dating Queen (Trainwreck),1,NA
DayLewis,Daniel Day-Lewis,2,2
DerAuftrag,Der Auftrag – Für einen letzten Coup ist es nie zu spät! (The Forger),1,NA
DerBiber,Der Biber,1,NA
DerDiebDerWorte,Der Dieb der Worte (The Words),1,NA
DerGottDesGemetzels,Der Gott des Gemetzels (Carnage),1,NA
DergroßeGatsby,Der große Gatsby (The Great Gatsby),1,NA
DerHobbitSchlacht,Der Hobbits: Die Schlacht der Fünf Heere,1,NA
DerHobbitSmaugs,Der Hobbit: Smaugs Einöde,1,NA
DerHobbitUnerwarteteReise,Der Hobbit: Eine unerwartete Reise,1,NA
DerLangeWeg,"Der lange Weg (All the Way, Fernsehfilm)",1,NA
DerMandant,Der Mandant (The Lincoln Lawyer),1,NA
DerMomentDerWahrheit,Der Moment der Wahrheit,1,NA
DerUnbestechliche,Der Unbestechliche – Mörderisches Marseille (La French),1,NA
DevilsKnot,Devil’s Knot,1,NA
DiCaprio,Leonardo DiCaprio,2,2
DieBestimmungAllegiant,Die Bestimmung – Allegiant (The Divergent Series: Allegiant),1,NA
DieBestimmungInsurgent,Die Bestimmung – Insurgent (The Divergent Series: Insurgent),1,NA
DieDreiMusketiere,Die drei Musketiere (The Three Musketeers),1,NA
DieEiserneLady,Die Eiserne Lady,1,NA
DieEntdeckungderUnendlichkeit,Die Entdeckung der Unendlichkeit,1,NA
DieKameliendame,Die Kameliendame (Camille),1,NA
DieKoenigingUndDerLeibarzt,Die Königin und der Leibarzt (En kongelig affære),1,NA
DieLiebeSeinesLebens,Die Liebe seines Lebens – The Railway Man (The Railway Man),1,NA
DieMoebiusAffaere,Die Möbius-Affäre (Möbius),1,NA
DiorUndIch,Dior und Ich,1,NA
DjangoUnchained,Django Unchained,1,NA
DonJon,Don Jon,1,NA
Drachenzaehmen2,Drachenzaehmen leicht gemacht 1,1,NA
Dujardin,Jean Dujardin,2,2
EastboundDown,Eastbound & Down (Fernsehserie),1,NA
EineGeschichteVonLiebeUndFinsternis,Eine Geschichte von Liebe und Finsternis,1,NA
EinTollesLeben,Ein tolles Leben (Arthur Newman),1,NA
ElectricSlide,Electric Slide,1,NA
ElsaFred,Elsa & Fred,1,NA
EntryLevel,Entry Level (Fernsehfilm),1,NA
Epic,"Epic – Verborgenes Königreich (Epic, Stimme)",1,NA
ExMachina,Ex Machina,1,NA
Exodus,Exodus: Götter und Könige (Exodus: Gods and Kings),1,NA
Firth,Colin Firth,2,2
Flight,Flight,1,NA
FlorenceFosterJenkins,Florence Foster Jenkins,1,NA
Flypaper,Flypaper – Wer überfällt hier wen? (Flypaper),1,NA
Francine,Francine,1,NA
FreeFire,Free Fire,1,NA
Freeheld,Freeheld – Jede Liebe ist gleich (Freeheld),1,NA
FreeStateOfJones,Free State of Jones,1,NA
FreundschaftPlus,Freundschaft Plus,1,NA
Gambit,Gambit – Der Masterplan (Gambit),1,NA
GameChange,Game Change – Der Sarah-Palin-Effekt,1,NA
Genius,Genius – Die tausend Seiten einer Freundschaft (Genius),1,NA
GetOnUp,Get on Up,1,NA
GillyHopkins,Gilly Hopkins – Eine wie keine (The Great Gilly Hopkins),1,NA
GirlInProgress,Girl in Progress,1,NA
Gold,Gold,1,NA
Hathaway,Anne Hathaway,2,1
HectorsReise,Hectors Reise oder die Suche nach dem Glück (Hector and the Search for Happiness),1,NA
HiddenFigures,Hidden Figures – Unerkannte Heldinnen (Hidden Figures),1,NA
Hotel,Hotel (Hotell),1,NA
HouseAtTheEndOfTheStreet,House at the End of the Street,1,NA
HüterDerErinnerung,Hüter der Erinnerung - The Giver,1,NA
IchDarfNichtSchlafen,Ich. Darf. Nicht. Schlafen. (Before I Go to Sleep),1,NA
ImAugustInOsageCounty,Im August in Osage County,1,NA
ImRauschDerSterne,Im Rausch der Sterne (Burnt),1,NA
InsideWikileaks,Inside Wikileaks – Die fünfte Gewalt (The Fifth Estate),1,NA
Interstellar,Interstellar,1,NA
IntotheWoods,Into the Woods,1,NA
Jackie,Jackie: Die First Lady,1,NA
JamesBondSpectre,James Bond 007: Spectre (Spectre),1,NA
JaneGotAGun,Jane Got a Gun,1,NA
JasonBourne,Jason Bourne,1,NA
Jedgar,J. Edgar,1,NA
Jobs,Jobs,1,NA
Joy,Joy - Alles außer gewöhnlich,1,NA
JupiterAscending,Jupiter Ascending,1,NA
KillerJoe,Killer Joe,1,NA
KillTheBoss2,Kill the Boss 2 (Horrible Bosses 2),1,NA
Kingsman,Kingsman: The Secret Service,1,NA
KingsSpeech,The King’s Speech,1,NA
KnightsOfCups,Knights of Cups,1,NA
Kronjuvelerna,Kronjuvelerna,1,NA
Kubo,"Kubo – Der tapfere Samurai (Kubo and the Two Strings, Sprecher)",1,NA
LaLaLand,La La Land,1,NA
LangLebeCharlieCountryman,Lang lebe Charlie Countryman (The Necessary Death of Charlie Countryman),1,NA
Larson,Brie Larson,2,1
Lawrence,Jennifer Lawrence,2,1
LegendOfTarzan,Legend of Tarzan,1,NA
LegoDimensions,Lego Dimensions (Videospiel),1,NA
Leo,Melissa Leo,2,1
LesMiserables,Les Miserables,1,NA
Leto,Jared Leto,2,2
LikeCrazy,Like Crazy,1,NA
Lincoln,Lincoln,1,NA
LondonHasFallen,London Has Fallen,1,NA
LostOnPurpose,Lost on Purpose,1,NA
MaennerUndDieFrauen,Männer und die Frauen (Les infidèles),1,NA
MaggiesPlan,Maggie's Plan,1,NA
MagicInTheMoonlight,Magic in the Moonlight,1,NA
MagicMike,Magic Mike,1,NA
Manifesto,Manifesto,1,NA
ManLerntNieAus,Man lernt nie aus (The Intern),1,NA
MapsToTheStarts,Maps to the Stars,1,NA
McConaughey,Matthew McConaughey,2,2
MeinZiemlichKleinerFreund,Mein ziemlich kleiner Freund (Un homme à la hauteur),1,NA
MitBestenAbsichten,Mit besten Absichten (The Meddler),1,NA
Mom,"Mom (Fernsehserie, 5 Episoden)",1,NA
MonumentsMen,Monuments Men – Ungewöhnliche Helden (The Monuments Men),1,NA
MonumentsMenUngewoehnlich,Monuments Men  Ungewöhnliche Helden,1,NA
Moore,Julianne Moore,2,1
Movie43,Movie 43 (entfernte Szene),1,NA
MrCollinsZweiterFruehling,Mr. Collins’ zweiter Frühling (Danny Collins),1,NA
Mud,Mud,1,NA
MuhammadAli,Muhammad Alis größter Kampf (Muhammad Ali's Greatest Fight),1,NA
MuppetsMostWanted,Muppets Most Wanted,1,NA
MyWeekWithMarylin,My Week with Marilyn,1,NA
NaechsterHaltFruitvaleStation,Nächster Halt: Fruitvale Station (Fruitvale Station),1,NA
NenntMichVerrueckt,"Nennt mich verrückt! (Call Me Crazy: A Five Film, Fernsehfilm)",1,NA
NonStop,Non-Stop,1,NA
Nyongo,Lupita Nyongo,2,1
Oblivion,Oblivion,1,NA
OlympusHasFallen,Olympus Has Fallen – Die Welt in Gefahr (Olympus Has Fallen),1,NA
PanemCatchingFire,Die Tribute von Panem - Catching Fire,1,NA
