ID;work;weight
1;2;3
2;1;3
3;28;3
4;39;3
5;1;3
6;1;3
7;19;3
8;30;3
9;10;3
10;9;3
11;19;3
12;20;3
13;23;3
14;18;3
15;39;3
16;4;3
17;27;3
18;37;3
19;10;3
20;21;3
21;20;3
22;32;3
23;13;3
24;12;3
25;13;3
26;28;3
27;17;3
28;15;3
29;30;3
30;29;3
31;32;3
32;31;3
33;18;3
34;17;3
35;18;3
36;29;3
37;18;3
38;15;3
1;26;1
2;26;1
3;17;1
4;16;1
5;2;1
6;34;1
7;9;1
8;9;1
9;19;1
10;19;1
11;10;1
12;21;1
13;25;1
14;35;1
15;38;1
16;1;1
17;34;1
18;14;1
19;11;1
20;12;1
21;12;1
22;7;1
23;25;1
24;36;1
25;23;1
26;6;1
27;34;1
28;38;1
29;8;1
30;8;1
31;17;1
32;17;1
33;18;1
34;27;1
35;14;1
36;30;1
37;14;1
38;28;1
