id,name,followers_count,friends_count,isProxy
0,"titanic",565116,25,0
1,"kamil2_0",978,1006,0
2,"jonassmith",2626,1083,0
3,"sciencemuseum",671529,7814,0
4,"Settler",169,1343,0
5,"metmuseum",4312748,1350,0
6,"szmagazin",86365,482,0
7,"buzze",3410,940,0
8,"oaklandmuseumca",43207,798,0
9,"jmberlin",10896,996,0
10,"gruenestuttgart",3461,1100,0
11,"TheMERL",159306,5316,0
12,"sadsir",1513,1091,0
13,"twilfgang",1401,1120,0
14,"frauvogel",5057,954,0
15,"SCHIRN",20858,2996,0
16,"kunstmuseum",7725,802,0
17,"mfg_kreativ",4139,880,0
18,"kesseltv",6848,567,0
19,"KreativNetzBW",2634,2333,0
20,"kulturtussi",9010,2790,0
21,"YorkshireMuseum",31258,1451,0
22,"cogries",9376,9222,0
23,"ARTEde",321013,1194,0
24,"DTFStuttgart",825,231,0
25,"LeedsMuseums",30404,3180,0
26,"davidluis",537,307,0
27,"LWLMuseumArchae",4098,1819,0
28,"popbuero",815,221,0
29,"DeutschesMuseum",6975,272,0
30,"mfnberlin",12621,1583,0
31,"ExploreWellcome",76718,2193,0
32,"museen_nbg",2197,509,0
33,"zkmkarlsruhe",24129,1855,0
34,"MuseumofCityNY",42818,2207,0
35,"Uni_Stuttgart",10774,1211,0
36,"Reimi0501",1053,790,0
37,"tinowa",2461,1164,0
38,"AB_Hornung",1775,2736,0
39,"LindenMuseum",6257,3904,0
40,"norasternfeld",755,97,0
41,"TECHNOSEUM",2824,414,0
42,"stgt_kreativ",2297,398,0
43,"brittSTGT",1850,1079,0
44,"MuseumsHeld",4223,2865,0
45,"mfk_frankfurt",9591,1632,0
46,"svmatis",1835,555,0
47,"mfk_berlin",7660,606,0
48,"MfMKMuenchen",13837,12837,0
49,"sjrstuttgart",554,555,0
50,"ConanOBrien",28476542,1,0
51,"museum_forum",5159,931,0
52,"Aussenreporter",881,1557,0
53,"Pailleaunez",219,474,0
54,"enjoy_stuttgart",8051,484,0
55,"stuttgart_stadt",31997,221,0
56,"UniHohenheim",3857,307,0
57,"LMWStuttgart",4648,1893,0
58,"mfk_nuernberg",1400,992,0
59,"AshmoleanMuseum",96388,5504,0
60,"hdm_stgt",4143,49,0
61,"_soulglow_",1310,489,0
62,"WeidingerAlfred",948,1505,0
63,"3sat",138641,237,0
64,"kulturstiftung",9806,6497,0
65,"stapferhaus",1373,784,0
66,"andmuel",1329,611,0
67,"STR_Airport",10309,1017,0
68,"markusgoetze",24,84,0
69,"BWjetzt",17066,562,0
70,"Muhterem_Aras",5114,819,0
71,"kollegegeiger",810,221,0
72,"nicosemsrott",333556,135,0
73,"RegSprecher",1002255,156,0
74,"hgmoek",703,1046,0
75,"m_merseburger",1026,1908,0
76,"stuttpark",102,76,0
77,"WRS_GmbH",1726,419,0
78,"thisaintanika",4196,1562,0
79,"BlackyS21",240,246,0
80,"oper_stuttgart",7043,784,0
81,"idemey",166,156,0
82,"BurgPosterstein",3623,2881,0
83,"MSanderhoff",5853,1144,0
84,"JOAN_RESEARCH",1672,939,0
85,"Barbara_Thiele",451,533,0
86,"Kupoge",4116,889,0
87,"BeateLex",497,1049,0
88,"TEDxStuttgart",1105,140,0
89,"TanjaPraske",7633,4326,0
90,"JanGeorgPlavec",1715,1196,0
91,"ThieleMartin",1295,1159,0
92,"StZ_Stadtkind",3648,163,0
93,"AdamKoszary",10638,1584,0
94,"PP_Stuttgart",82883,101,0
95,"MZierold",1649,1266,0
96,"IvanaScharf",1924,1135,0
97,"histmus",8757,1618,0
98,"dankeanmich",313,358,0
99,"ThisNorthwood",471,491,0
100,"Ficorest",192,284,0
101,"EgonForever",5742,845,0
102,"SharonAment",2882,1576,0
103,"EghamMuseum",4711,905,0
104,"museumsbund",7325,513,0
105,"museumstag",4510,2661,0
106,"LVBWBerlin",1487,248,0
107,"fvonderHaar",470,362,0
108,"Pinakotheken",11540,1084,0
109,"museumundmehr",1174,934,0
110,"MirjamWenzel",3168,1312,0
111,"MaevaMarzian",634,1443,0
112,"herbergsmuetter",3321,1662,0
113,"SMNStuttgart",1466,506,0
114,"JanSellner",759,549,0
115,"rki_de",509638,127,0
116,"_omwo",2228,1444,0
117,"n8iger",630,508,0
118,"grether_marion",609,690,0
119,"TiniDo",9436,4591,0
120,"NinaAyerle",1015,2243,0
121,"CMilankovic",607,664,0
122,"SchauspielS",3854,1083,0
123,"IcomOfficiel",35465,1032,0
124,"drseidlt",397,253,0
125,"fraxinorumager",402,152,0
126,"AnneAschenbrenn",3910,2759,0
127,"NRW_FORUM",3479,1967,0
128,"Kunsthalle_Ka",5505,1157,0
129,"MuseumWeek",229659,10998,0
130,"L_Brasseur",418,289,0
131,"vertikalpass",6862,1012,0
132,"DieMaus",77260,52,0
133,"forum3stuttgart",1451,3061,0
134,"AnjaKikaHist",2055,1126,0
135,"StadtmuseumBLN",6847,1210,0
136,"RuthRosenberger",1521,1131,0
137,"museum_folkwang",4553,686,0
138,"addichr",399,596,0
139,"pablo_aer",57,254,0
140,"kulturSPK",3723,320,0
141,"SusanneKaufm",530,490,0
142,"BrunnerIrujo",118,77,0
143,"Jan_sagt",1974,1294,0
144,"tuessl",1789,1146,0
145,"yeoldekitchen",539,621,0
146,"smac_sachsen",2329,1170,0
147,"KUNSTFORUM_int",1681,553,0
148,"petto_offiziell",1636,547,0
149,"r_soldt",896,449,0
150,"c_steinau",815,2676,0
151,"ICOMDeutschland",3519,182,0
152,"PhilippPfafflin",37,19,0
153,"ifaCultExtern",2115,693,0
154,"museumsFS",3092,1755,0
155,"kunstmuseumbs",4449,737,0
156,"musermeku",5509,406,0
157,"staatsgalerie",2738,680,0
158,"BV_MusPaed",989,349,0
159,"kulturprojekteb",3263,722,0
160,"Henkel_Matthias",1051,2011,0
161,"goethemuseum",1749,784,0
162,"PRinStuttgart",28,48,0
163,"FdKStuttgart",28,130,0
164,"AndreasGWinter",127,147,0
165,"kesselbambule",711,400,0
166,"tschiners",2241,870,0
167,"CleanupNetwork",302,170,0
168,"DDraussen",9,39,0
169,"kompetenzbw",203,201,0
170,"museums4future",1653,576,0
171,"wanderbaumallee",508,40,0
172,"vfbobtfrauen",1225,44,0
173,"Ideenwerkbw",1866,1310,0
174,"museenAB",558,333,0
175,"kulturundkunst",439,148,0
176,"Museonautin",586,673,0
177,"janinalselzer",50,209,0
178,"radentscheid_S",1644,279,0
179,"madamedescudery",120,470,0
180,"NadineSeidu",138,449,0
181,"UNESCO_DCH_ERA",2423,2741,0
182,"AngelaMKraetz",57,258,0
183,"sinnpreis",60,153,0
184,"schmid_tabea",73,158,0
185,"Herstory_pod",7464,627,0
186,"VolkmannSabrina",17,97,0
187,"KidicalMass_S",508,116,0
188,"DPP21_official",1159,211,0
189,"_vertikalpass",3380,276,0
190,"HausHeuss",230,213,0
191,"LaenderKultur",3754,785,0
192,"BS_AnneFrank",14824,916,0
193,"hd2nd1",184,486,0
194,"LKJ_BW",375,506,0
195,"C_W_M_O",23917,406,0
196,"drleibbrand",57,71,0
197,"MuseumbugCast",886,769,0
198,"lavinia_frey",1398,1868,0
199,"DLAMarbach",2434,799,0
200,"MarisaSchiele",594,490,0
201,"FrauKnoebel",640,503,0
202,"ThieleCarmela",664,348,0
203,"cgpublichistory",1542,2290,0
204,"cvila_museum",2050,3810,0
205,"giese_torben",168,77,0
206,"thisistrott",175,221,0
207,"DoreenMoelders",1522,1112,0
208,"goethemoma",442,351,0
209,"MassiveMuseum",1383,1343,0
210,"corn_iusmeister",485,11,0
211,"ChrisMLindner",487,506,0
212,"SportfreundeS",407,479,0
213,"LandesarchivBW",1718,1133,0
214,"MSI_BW",7888,684,0
215,"WM_BW",4383,343,0
216,"das_ifa",833,544,0
217,"regenmuseum",632,549,0
218,"agilekultur",2009,1779,0
219,"dieamelei",24,110,0
220,"chateau_du_lac",165,402,0
221,"ElenaKaifel",50,102,0
222,"MeikeRech",6,35,0
223,"_AnneKraft",769,688,0
224,"lmb_berlin",1610,1499,0
225,"gfrereis",1557,3213,0
226,"jobernha",2257,2125,0
227,"C_Langenbacher",28,17,0
228,"silke_oldenburg",673,723,0
229,"museenoeffnen",1579,2075,0
230,"hln_gnd",577,851,0
231,"ckriebernig",726,545,0
232,"joabaur",311,145,0
233,"ArneLindemann",797,1002,0
234,"ArteAurum",193,489,0
235,"ElisabethTietm1",72,62,0
236,"chri_lud",1093,652,0
237,"MGSStAndrews",491,125,0
238,"NeuerNorden",55,138,0
239,"MFK_Muenchen",658,350,0
240,"ooe_art",273,111,0
241,"DigamusAward",1056,460,0
242,"DMallepree",651,484,0
243,"AnnaGreve4",655,434,0
244,"ka_schoen",378,645,0
245,"jmfrankfurt",5873,657,0
246,"MuseumEgling",289,509,0
247,"Knopfmuseum",280,392,0
248,"museumsforscher",1220,222,0
249,"museum4punkt0",3017,825,0
250,"Volkskundemuse",784,1367,0
251,"hellgold1",95,92,0
252,"ZukunftObjekte",272,198,0
253,"mikosna",256,407,0
254,"icofom_icom",1211,356,0
255,"FSternfeld",1105,478,0
256,"KreativregionS",97,91,0
257,"DavidVuillaume",1048,844,0
258,"hdgbw",2189,607,0
259,"koeln_museum",2715,723,0
260,"StadtmuseumTue",251,69,0
261,"BLM_Karlsruhe",2326,1249,0
262,"IBA2027",516,220,0
263,"mucstadtmuseum",2337,328,0
264,"mkghamburg",860,183,0
