;from;to;weight;book
0;Velerad;Geralt;1;1
1;Geralt;Foltest;5;1
2;Foltest;Geralt;4;1
3;Adda;Geralt;1;1
4;Geralt;Ostrit;4;1
5;Ostrit;Geralt;5;1
6;Ostrit;Foltest;1;1
7;Ostrit;Velerad;1;1
8;Foltest;Velerad;1;1
9;Foltest;Adda;1;1
10;Geralt;Adda;2;1
11;Foltest;Two;1;1
12;Yennefer;Nenneke;2;1
13;Nenneke;Geralt;12;1
14;Geralt;Nenneke;12;1
15;Geralt;Iola;4;1
16;Nenneke;Iola;8;1
17;Roach;Geralt;3;1
18;Two;Geralt;2;1
19;Geralt;Roach;4;1
20;Geralt;Nivellen;14;1
21;Nivellen;Geralt;11;1
22;Fenne;Geralt;1;1
23;Geralt;Fenne;1;1
24;Asse;Geralt;2;1
25;Roach;Vereena;2;1
26;Vereena;Geralt;4;1
27;Vereena;Nivellen;2;1
28;Hereward;Nenneke;5;1
29;Hereward;Geralt;4;1
30;Nenneke;Hereward;4;1
31;Geralt;Hereward;3;1
32;Nenneke;Falwick;4;1
33;Falwick;Nenneke;6;1
34;Geralt;Falwick;5;1
35;Hereward;Falwick;3;1
36;Falwick;Geralt;3;1
37;Falwick;Hereward;2;1
38;Geralt;Caldemeyn;4;1
39;Caldemeyn;Geralt;9;1
40;Stregobor;Count;1;1
41;Stregobor;Geralt;4;1
42;Geralt;Eltibald;1;1
43;Stregobor;Fredefalk;2;1
44;Geralt;Fredefalk;2;1
45;Fredefalk;Geralt;1;1
46;Geralt;Stregobor;8;1
47;Fredefalk;Renfri;2;1
48;Renfri;Fredefalk;2;1
49;Nohorn;Geralt;1;1
50;Nohorn;Tavik;1;1
51;Civril;Tavik;3;1
52;Tavik;Fifteen;1;1
53;Fifteen;Tavik;1;1
54;Civril;Renfri;4;1
55;Renfri;Civril;1;1
56;Renfri;Tavik;1;1
57;Tavik;Renfri;1;1
58;Tavik;Caldemeyn;1;1
59;Renfri;Caldemeyn;3;1
60;Caldemeyn;Renfri;2;1
61;Geralt;Renfri;11;1
62;Renfri;Audoen;3;1
63;Audoen;Caldemeyn;2;1
64;Geralt;Libushe;1;1
65;Libushe;Geralt;2;1
66;Renfri;Stregobor;4;1
67;Geralt;Audoen;2;1
68;Stregobor;Audoen;1;1
69;Stregobor;Renfri;8;1
70;Audoen;Renfri;2;1
71;Renfri;Geralt;8;1
72;Nohorn;Fifteen;1;1
73;Nohorn;Civril;1;1
74;Fifteen;Civril;3;1
75;Baron;Civril;1;1
76;Caldemeyn;Stregobor;1;1
77;Stregobor;Baron;1;1
78;Caldemeyn;Audoen;1;1
79;Audoen;Geralt;1;1
80;Civril;Fifteen;1;1
81;Civril;Geralt;1;1
82;Fifteen;Nohorn;1;1
83;Iola;Geralt;1;1
84;Yennefer;Iola;1;1
85;Geralt;Haxo;2;1
86;Haxo;Pavetta;4;1
87;Haxo;Calanthe;1;1
88;Pavetta;Calanthe;9;1
89;Calanthe;Geralt;17;1
90;Haxo;Geralt;3;1
91;Geralt;Rainfarn;1;1
92;Rainfarn;Windhalm;4;1
93;Calanthe;Eist;8;1
94;Calanthe;Pavetta;12;1
95;Eist;Pavetta;2;1
96;Eist;Calanthe;7;1
97;Pavetta;Eist;3;1
98;Eist;Crach;3;1
99;Crach;Eist;3;1
100;Crach;Draig;2;1
101;Crach;Calanthe;1;1
102;Draig;Calanthe;2;1
103;Draig;Eist;1;1
104;Calanthe;Drogodar;1;1
105;Eist;Drogodar;1;1
106;Eist;Vissegerd;3;1
107;Drogodar;Vissegerd;2;1
108;Geralt;Drogodar;1;1
109;Draig;Geralt;2;1
110;Geralt;Calanthe;5;1
111;Calanthe;Draig;1;1
112;Ravix;Haxo;2;1
113;Pavetta;Vissegerd;1;1
114;Vissegerd;Geralt;3;1
115;Crach;Geralt;1;1
116;Eist;Geralt;3;1
117;Haxo;Mousesack;2;1
118;Geralt;Mousesack;10;1
119;Mousesack;Crach;3;1
120;Mousesack;Draig;2;1
121;Mousesack;Calanthe;2;1
122;Roegner;Geralt;2;1
123;Geralt;Pavetta;4;1
124;Calanthe;Roegner;2;1
125;Roegner;Calanthe;4;1
126;Pavetta;Crach;2;1
127;Crach;Vissegerd;1;1
128;Vissegerd;Pavetta;1;1
129;Pavetta;Geralt;6;1
130;Geralt;Eist;2;1
131;Draig;Rainfarn;1;1
132;Pavetta;Roegner;2;1
133;Roegner;Pavetta;1;1
134;Pavetta;Mousesack;5;1
135;Calanthe;Sir;1;1
136;Sir;Rumplestelt;1;1
137;Rumplestelt;Calanthe;2;1
138;Baron;Calanthe;1;1
