from,to,relationship,time,position
four,sony,2,2005,NA
bush,aggr,1,2001,1
bush,ersg,1,2004,1
shin,ersg,1,2013,2
ersg,univ,2,2004,NA
ersg,sony,2,2007,NA
kayo,roya,1,2002,2
kayo,germ,1,2005,2
kayo,ersg,1,2007,2
kayo,apal,1,2013,1
kayo,prin,1,2015,1
sido,roya,1,1998,1
sido,aggr,1,2001,1
sido,univ,1,2009,2
sido,gold,1,2015,1
gold,sony,2,2015,NA
kool,roya,1,1997,1
kool,putd,1,2001,2
kool,opti,1,2002,1
opti,sony,2,2002,NA
kool,essa,1,2009,2
essa,sony,2,2009,NA
maxh,four,1,1997,2
maxh,neso,1,2006,1
neso,sony,2,2006,NA
casp,buck,1,2004,2
casp,667,1,2006,2
casp,self,1,2009,2
casp,four,1,2010,2
fari,germ,1,2005,2
germ,sony,2,2007,NA
fari,bang,1,2012,1
kcre,shra,1,2009,2
kcre,pott,1,2009,2
kcre,life,1,2011,2
kcre,wolf,1,2012,2
kcre,bang,1,2013,2
majo,bang,1,2012,2
bang,warn,2,2015,NA
alli,trip,1,2006,1
alli,rapp,1,2008,2
alli,trai,1,2009,1
timi,trai,1,2009,1
sudd,yomu,1,2008,2
sudd,trai,1,2009,1
bast,trai,1,2009,1
pri,roya,1,2002,2
pri,buck,1,2005,2
pri,nope,1,2006,1
nope,univ,2,2007,NA
pri,kein,1,2009,1
karu,self,1,2011,2
karu,outt,1,2017,1
outt,sony,2,2017,NA
mart,punc,1,2000,2
mart,magn,1,2006,2
mart,sony,1,2008,2
mart,gree,1,2006,1
gree,sony,2,2006,NA
koll,self,1,2005,2
koll,alph,1,2016,1
alph,warn,2,2016,NA
alph,bmg,2,2017,NA
cro,chim,1,2011,2
btig,roya,1,1998,1
btig,aggr,1,2001,2
tony,aggr,1,2001,2
fler,aggr,1,2001,2
fler,ersg,1,2010,2
fler,mask,1,2011,1
mask,sony,1,2014,2
pete,warn,1,2000,2
boun,warn,1,2000,2
dell,warn,1,2000,2
jand,buba,1,1993,2
jand,eims,1,1997,1
jand,univ,1,1998,2
deny,buba,1,1993,2
deny,eims,1,1997,1
deny,univ,1,1998,2
buba,univ,2,1997,NA
samy,eims,1,1997,2
samy,buba,1,2000,2
samy,emi,1,2001,2
samy,delu,1,2003,1
delu,emi,1,2003,2
samy,vert,1,2012,2
afro,four,1,1999,2
afro,emi,1,2003,2
afro,glet,1,2008,1
afro,ones,1,2014,2
emi,univ,2,2011,NA
mich,four,1,1996,1
thom,four,1,1996,1
smud,four,1,1996,1
bjoe,emi,1,1995,2
dokt,emi,1,1995,2
koen,emi,1,1995,2
bjoe,fett,1,2004,1
dokt,fett,1,2004,1
koen,fett,1,2004,1
tare,roya,1,2000,2
maxi,roya,1,2000,2
nico,roya,1,2000,2
tare,vert,1,2008,2
maxi,vert,1,2008,2
nico,vert,1,2008,2
vert,univ,2,1997,NA
spon,biki,1,2015,2
motr,univ,1,2011,2
xata,alle,2,2007,1
mars,sony,1,2008,2
