from,to,weight
1,21,3
2,38,3
3,2,3
4,19,3
5,6,3
6,5,3
7,10,3
8,30,3
9,38,3
10,7,3
11,7,3
12,6,3
13,24,3
14,6,3
15,21,3
16,28,3
17,34,3
18,32,3
19,27,3
20,30,3
21,1,3
22,5,3
23,18,3
24,35,3
25,35,3
26,12,3
27,4,3
28,38,3
29,38,3
30,27,3
31,9,3
32,24,3
33,19,3
34,17,3
35,32,3
36,18,3
37,20,3
38,29,3
1,30,1
2,29,1
3,32,1
4,34,1
5,22,1
6,12,1
7,11,1
8,36,1
9,19,1
10,31,1
11,19,1
12,26,1
13,38,1
14,12,1
15,20,1
16,36,1
17,1,1
18,36,1
19,4,1
20,1,1
21,30,1
22,5,1
23,36,1
24,32,1
25,32,1
26,6,1
27,19,1
28,29,1
29,28,1
30,1,1
31,7,1
32,35,1
33,7,1
34,4,1
35,24,1
36,29,1
37,15,1
38,19,1
