from,to,weight,relation
1,21,3,6
2,38,3,6
3,2,3,6
4,19,3,6
5,6,3,6
6,5,3,6
7,10,3,6
8,30,3,6
9,38,3,6
10,7,3,6
11,7,3,6
12,6,3,6
13,24,3,6
14,6,3,6
15,21,3,6
16,28,3,6
17,34,3,6
18,32,3,6
19,27,3,6
20,30,3,6
21,1,3,6
22,5,3,6
23,18,3,6
24,35,3,6
25,35,3,6
26,12,3,6
27,4,3,6
28,38,3,6
29,38,3,6
30,27,3,6
31,9,3,6
32,24,3,6
33,19,3,6
34,17,3,6
35,32,3,6
36,18,3,6
37,20,3,6
38,29,3,6
1,30,1,6
2,29,1,6
3,32,1,6
4,34,1,6
5,22,1,6
6,12,1,6
7,11,1,6
8,36,1,6
9,19,1,6
10,31,1,6
11,19,1,6
12,26,1,6
13,38,1,6
14,12,1,6
15,20,1,6
16,36,1,6
17,1,1,6
18,36,1,6
19,4,1,6
20,1,1,6
21,30,1,6
22,5,1,6
23,36,1,6
24,32,1,6
25,32,1,6
26,6,1,6
27,19,1,6
28,29,1,6
29,28,1,6
30,1,1,6
31,7,1,6
32,35,1,6
33,7,1,6
34,4,1,6
35,24,1,6
36,29,1,6
37,15,1,6
38,19,1,6
1,18,3,7
2,32,3,7
3,2,3,7
4,27,3,7
5,22,3,7
6,5,3,7
7,10,3,7
8,18,3,7
9,7,3,7
10,11,3,7
11,19,3,7
12,6,3,7
13,32,3,7
14,6,3,7
15,30,3,7
16,18,3,7
17,21,3,7
18,38,3,7
19,4,3,7
20,18,3,7
21,18,3,7
22,5,3,7
23,18,3,7
24,18,3,7
25,32,3,7
26,6,3,7
27,4,3,7
28,38,3,7
29,38,3,7
30,18,3,7
31,11,3,7
32,18,3,7
33,19,3,7
34,18,3,7
35,32,3,7
36,18,3,7
37,30,3,7
38,29,3,7
1,32,1,7
2,18,1,7
3,8,1,7
4,34,1,7
5,6,1,7
6,12,1,7
7,19,1,7
8,30,1,7
9,10,1,7
10,7,1,7
11,7,1,7
12,26,1,7
13,30,1,7
14,26,1,7
15,21,1,7
16,36,1,7
17,34,1,7
18,30,1,7
19,11,1,7
20,30,1,7
21,20,1,7
22,5,1,7
23,13,1,7
24,36,1,7
25,36,1,7
26,12,1,7
27,34,1,7
28,29,1,7
29,36,1,7
30,21,1,7
31,19,1,7
32,24,1,7
33,9,1,7
34,4,1,7
35,18,1,7
36,32,1,7
37,36,1,7
38,32,1,7
