from,to,weight,relation
1,21,3,1
2,38,3,1
3,2,3,1
4,19,3,1
5,6,3,1
6,5,3,1
7,10,3,1
8,30,3,1
9,38,3,1
10,7,3,1
11,7,3,1
12,6,3,1
13,24,3,1
14,6,3,1
15,21,3,1
16,28,3,1
17,34,3,1
18,32,3,1
19,27,3,1
20,30,3,1
21,1,3,1
22,5,3,1
23,18,3,1
24,35,3,1
25,35,3,1
26,12,3,1
27,4,3,1
28,38,3,1
29,38,3,1
30,27,3,1
31,9,3,1
32,24,3,1
33,19,3,1
34,17,3,1
35,32,3,1
36,18,3,1
37,20,3,1
38,29,3,1
1,30,1,1
2,29,1,1
3,32,1,1
4,34,1,1
5,22,1,1
6,12,1,1
7,11,1,1
8,36,1,1
9,19,1,1
10,31,1,1
11,19,1,1
12,26,1,1
13,38,1,1
14,12,1,1
15,20,1,1
16,36,1,1
17,1,1,1
18,36,1,1
19,4,1,1
20,1,1,1
21,30,1,1
22,5,1,1
23,36,1,1
24,32,1,1
25,32,1,1
26,6,1,1
27,19,1,1
28,29,1,1
29,28,1,1
30,1,1,1
31,7,1,1
32,35,1,1
33,7,1,1
34,4,1,1
35,24,1,1
36,29,1,1
37,15,1,1
38,19,1,1
1,18,3,2
2,32,3,2
3,2,3,2
4,27,3,2
5,22,3,2
6,5,3,2
7,10,3,2
8,18,3,2
9,7,3,2
10,11,3,2
11,19,3,2
12,6,3,2
13,32,3,2
14,6,3,2
15,30,3,2
16,18,3,2
17,21,3,2
18,38,3,2
19,4,3,2
20,18,3,2
21,18,3,2
22,5,3,2
23,18,3,2
24,18,3,2
25,32,3,2
26,6,3,2
27,4,3,2
28,38,3,2
29,38,3,2
30,18,3,2
31,11,3,2
32,18,3,2
33,19,3,2
34,18,3,2
35,32,3,2
36,18,3,2
37,30,3,2
38,29,3,2
1,32,1,2
2,18,1,2
3,8,1,2
4,34,1,2
5,6,1,2
6,12,1,2
7,19,1,2
8,30,1,2
9,10,1,2
10,7,1,2
11,7,1,2
12,26,1,2
13,30,1,2
14,26,1,2
15,21,1,2
16,36,1,2
17,34,1,2
18,30,1,2
19,11,1,2
20,30,1,2
21,20,1,2
22,5,1,2
23,13,1,2
24,36,1,2
25,36,1,2
26,12,1,2
27,34,1,2
28,29,1,2
29,36,1,2
30,21,1,2
31,19,1,2
32,24,1,2
33,9,1,2
34,4,1,2
35,18,1,2
36,32,1,2
37,36,1,2
38,32,1,2
